Neuron_ID,Importance_Drop
0,-0.000658211226078485
1,-0.002295355205269289
2,0.0036164193642591338
3,0.0035025169111768716
4,-0.00052794052003085
5,-0.022836350880011985
6,-0.007799512086213759
7,-0.0003924356424926305
8,-0.004188615840872648
9,0.006704709492491271
10,-0.0014700627564579838
11,-0.0020786762541565216
12,0.003734275937193543
13,-0.0012643786236025715
14,0.0006914217764947092
15,-0.006623251721592588
16,0.003418440573343368
17,-0.0014432563245177345
18,-0.003924102608401598
19,0.012677354545708012
20,0.006270593352717986
21,0.007101805371955882
22,-0.0016641302700666307
23,0.06219652641052659
24,-0.008262697045608119
25,0.0036674534682002266
26,0.008563629104458684
27,-0.009949314369395843
28,-9.612718675050224e-05
29,-0.003059213014489464
30,-0.0019873235867445935
31,0.0003068163007492842
32,0.0016838153432434152
33,0.003135498928728272
34,-0.014351217770694927
35,-0.0004142211220882783
36,-0.0024380585222926253
37,0.00026357735159243304
38,-0.0011507790598103132
39,0.0022193705961852197
40,0.002277230728502795
41,-0.013505484051449216
42,0.0005091395330050664
43,-0.00015128251063224445
44,-0.002694821950008114
45,-0.015467188361378595
46,-0.004731527758349413
47,-0.0020385647536596287
48,0.0016683574988843927
49,-0.0022271190628625074
50,0.0007571534200724939
51,-0.0024642636484822553
52,-0.00042790073310723317
53,-0.01402083049854215
54,-0.0006700887488825999
55,-0.003815608642857004
56,-0.002050127747059891
57,-0.00238568349566559
58,-0.001184598552738516
59,0.001772677591786594
60,-0.005599619993683619
61,-0.010034190201850915
62,-0.011031804416229937
63,-0.00033335988871005865
